empresa;cargo;localizacao;modalidade;contrato;pcd;data
Cogna Educação;ENGENHEIRO DADOS IV - AD.1282;São Paulo - SP;Remoto;Efetivo;Não informado;29/06/2023
Saber Educação;ANALISTA DE DADOS III ;São Paulo - SP;Presencial;Efetivo;Não informado;29/06/2023
NAVA | Technology for Business;PESSOA ANALISTA DE DADOS SR - Riscos/Inteligência;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;28/06/2023
Cielo;Analista de Dados Sr;Barueri - SP;Remoto;Efetivo;Também p/ PcD;28/06/2023
REDE CACIQUE;FRENTISTA  - Baixa Grande do Ribeiro/PI (BANCO DE DADOS);Baixa Gran... - PI;Presencial;Banco de Talentos;Também p/ PcD;28/06/2023
Samsung SDS Latin America;Cientista de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;27/06/2023
Seja Every segurança da informação cybersecurity Every #SerFeliz LGPD GRC gerenciamento de risco inovação Every TI VempraEvery Vem pra Every ;Analista Sênior de Privacidade de Dados;Brasília - DF;Presencial;Efetivo;Não informado;27/06/2023
Seja Every segurança da informação cybersecurity Every #SerFeliz LGPD GRC gerenciamento de risco inovação Every TI VempraEvery Vem pra Every ;Analista Pleno de Privacidade de Dados;Brasília - DF;Presencial;Efetivo;Não informado;27/06/2023
Instituto de Pesquisas ELDORADO;Estágio para Analista de Dados;Manaus - AM;Presencial;Efetivo;Não informado;26/06/2023
Banco Bmg;Especialista de Arquitetura de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;26/06/2023
Brasilprev;BANCO DE TALENTOS - Tecnologia e Dados;São Paulo - SP;Presencial;Banco de Talentos;Também p/ PcD;26/06/2023
Agrofel Grãos e Insumos;Banco de dados | Gerente de Unidade;Não informado;Presencial;Efetivo;Também p/ PcD;24/06/2023
Agrofel Grãos e Insumos;Banco de Dados | Assistente Administrativo e Estoque ;Não informado;Presencial;Efetivo;Também p/ PcD;24/06/2023
Agrofel Grãos e Insumos;Banco de Dados | Consultor Comercial ;Não informado;Presencial;Efetivo;Também p/ PcD;24/06/2023
Faça parte do time Mercantil;Analista de Dados de Controladoria Pleno;Belo Horiz... - MG;Remoto;Efetivo;Também p/ PcD;23/06/2023
B. Braun Group ;Especialista de Inteligência de Dados;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;23/06/2023
Agrofel Grãos e Insumos;Banco de Dados | Coordenador Administrativo;Não informado;Presencial;Efetivo;Também p/ PcD;22/06/2023
Agrofel Grãos e Insumos;Banco de dados | Coordenador Comercial;Não informado;Presencial;Efetivo;Também p/ PcD;22/06/2023
YDUQS;PESSOA ANALISTA EM GESTÃO DE SERVIÇOS PLENA (DADOS);Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;22/06/2023
Account Manager Jr;Product Owner Dados;Paraná - PR;Presencial;Pessoa Jurídica;Não informado;22/06/2023
Embraer;Cientista de Dados JR/PL ;São José d... - SP;Presencial;Efetivo;Também p/ PcD;22/06/2023
OMNI Brasil;Estagiário de Dados;São Paulo - SP;Presencial;Estágio;Não informado;20/06/2023
Riachuelo ;Administrador de Banco de Dados  Sênior;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;20/06/2023
Hapvida NotreDame Intermédica;Estagiário de Direito (Privacidade e Proteção de Dados) ;Fortaleza - CE;Presencial;Estágio;Também p/ PcD;20/06/2023
Grupo Refriko;Analista de Dados;Cambé - PR;Presencial;Efetivo;Não informado;20/06/2023
Stefanini Group;ADMINISTRADOR DE BANCO DE DADOS SÊNIOR;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;19/06/2023
Light;Técnico Jr (Análise de Dados);Nova Iguaçu - RJ;Presencial;Efetivo;Também p/ PcD;19/06/2023
Datum TI;Pessoa Engenheira de Dados AWS Pleno;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;19/06/2023
SBT;Engenheiro de Dados Sênior;Osasco - SP;Presencial;Efetivo;Também p/ PcD;19/06/2023
Itaú Unibanco;Analista Sênior de Business Intelligence (BI) e Dados - CONSÓRCIO;Sao Paulo - SP;Presencial;Efetivo;Não informado;16/06/2023
Qexpert ;Engenheiro de Dados - DataOps - Sênior;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;16/06/2023
Cadastra ;Engenheiro de Dados - DataOps - Sênior;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;15/06/2023
NAVA | Technology for Business;PESSOA ENGENHEIRA DE DADOS;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;15/06/2023
Superlógica Tecnologias ;Pessoa Analista de Marketing Sênior - Foco em Dados;Campinas - SP;Remoto;Efetivo;Também p/ PcD;15/06/2023
200DEV;Engenheiro (a) de Dados Sênior ;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;15/06/2023
Porto;Analista de Engenharia de Dados Sênior ;São Paulo - SP;Presencial;Efetivo;Não informado;14/06/2023
J&T Express Brasil;Analista de dados (BI) Sr. ;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;14/06/2023
Grupo RBS;Engenheiro de Dados III (Remoto);Porto Alegre - RS;Remoto;Efetivo;Também p/ PcD;13/06/2023
Franq;Analista de Dados Pleno;Florianópolis - SC;Presencial;Efetivo;Também p/ PcD;09/06/2023
Grupo SBF ;Pessoa Arquiteta de Dados ;Não informado;Remoto;Efetivo;Não informado;09/06/2023
Claranet Brasil;Banco de Talentos para Engenharia de Dados GCP;Barueri - SP;Presencial;Banco de Talentos;Também p/ PcD;07/06/2023
NC Tech;Gerente de Dados;Hortolandia - SP;Presencial;Efetivo;Também p/ PcD;07/06/2023
Bridge & Co.;Pessoa Engenheira de Dados;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;07/06/2023
EuroChem;Especialista de Dados e Inovação - Paulínia/SP;Goiânia - GO;Presencial;Efetivo;Também p/ PcD;07/06/2023
Telefónica Tech;GERENTE BANCO DE DADOS ;Barueri - SP;Presencial;Efetivo;Também p/ PcD;07/06/2023
MTP Métodos e Tecnologia – Brasil;Banco de Talentos - Analista de Dados;São José d... - PR;Presencial;Banco de Talentos;Não informado;07/06/2023
Engineering Brasil;Cientista de Dados Pleno/Sênior;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;06/06/2023
Porto;Analista de Engenharia de Dados Sr;Barueri - SP;Presencial;Efetivo;Também p/ PcD;05/06/2023
Movida Aluguel de Carros;ESPECIALISTA DE DADOS E CONTROLADORIA;Não informado;Presencial;Efetivo;Também p/ PcD;05/06/2023
Cielo;Cientista de Dados ;Barueri - SP;Remoto;Efetivo;Também p/ PcD;05/06/2023
Mercafacil;Engenheiro(a) de Dados Sênior | Python (Banco de Talentos);Curitiba - PR;Remoto;Efetivo;Também p/ PcD;01/06/2023
Trabalhe Conosco Unimed Goiânia;Analista De Segurança Informação E Dados III - Segurança Da Informação E Dados (CÓPIA);Goiânia - GO;Presencial;Efetivo;Também p/ PcD;01/06/2023
Infotec Brasil;Engenheiro de Analise de Dados - Santos/SP ;Santos - SP;Presencial;Efetivo;Não informado;01/06/2023
Icomm Group;Estágio em Análise de Dados;São Paulo - SP;Presencial;Estágio;Não informado;31/05/2023
Gerando Falcões;Analista de Dados Pleno;Poá - SP;Presencial;Efetivo;Não informado;31/05/2023
Eletromidia;Analista de Dados Pleno – IoT;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;31/05/2023
Autoglass Administrativo;Assistente Administrativo - Dados;Vila Velha - ES;Presencial;Efetivo;Também p/ PcD;31/05/2023
Vitru Education;Analista de Dados (Web Analytics CRO);Florianópolis - SC;Presencial;Efetivo;Também p/ PcD;29/05/2023
Vagas, empregos, oportunidades;Analista de Dados Pleno;Joinville - SC;Remoto;Efetivo;Também p/ PcD;26/05/2023
Daniel Advogados;Advogado(a) Pleno - Tecnologia, Privacidade e Proteção de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;26/05/2023
Grupo Safira ;Engenheiro de Dados Sênior;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;26/05/2023
Americanas S.A.;Analista de Privacidade Sênior | Privacidade de Dados ;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;24/05/2023
REDE CACIQUE;BANCO DE DADOS GERAL - REDE CACIQUE;Não informado;Presencial;Banco de Talentos;Não informado;23/05/2023
Getnet Brasil;Pessoa Analista de Risco Financeiro Pl | Analise de Dados;Porto Alegre - RS;Presencial;Efetivo;Também p/ PcD;23/05/2023
EuroChem;Analista de Dados Industriais - Paulínia/SP;Paulínia - SP;Presencial;Efetivo;Também p/ PcD;22/05/2023
Itaú Unibanco;Estag Experience | Direcionado para perfil de dados;Sao Paulo - SP;Presencial;Estágio;Também p/ PcD;22/05/2023
REDE CACIQUE;JOVEM APRENDIZ - BANCO DE DADOS REDE CACIQUE;Teresina - PI;Presencial;Banco de Talentos;Também p/ PcD;20/05/2023
R Damásio;Assistente de Dados | Vendas Atacado;Teresina - PI;Presencial;Efetivo;Também p/ PcD;19/05/2023
Ernesto Borges Advogados;Analista de Dados;Campo Grande - MS;Remoto;Efetivo;Também p/ PcD;18/05/2023
Itaú Unibanco;ANL ENGENHARIA DADOS SR - PREVENÇÃO A FRAUDES;Sao Paulo - SP;Remoto;Efetivo;Também p/ PcD;17/05/2023
A3Data;Banco de Talentos - Pessoa Engenheira de Dados  [Sênior-Especialista];Belo Horiz... - MG;Remoto;Banco de Talentos;Também p/ PcD;17/05/2023
Lanlink Informática;Analista de Suporte em Administração de Banco de Dados -BANCO DE TALENTOS;Natal - RN;Presencial;Banco de Talentos;Também p/ PcD;17/05/2023
A3Data;Banco de Talentos - Pessoa Analista de Dados [Sênior-Especialista];Belo Horiz... - MG;Remoto;Banco de Talentos;Também p/ PcD;17/05/2023
Autoglass Tech;Líder de Equipe - Dados;Vila Velha - ES;Presencial;Efetivo;Também p/ PcD;16/05/2023
A3Data;Banco de Talentos - Pessoa Cientista de Dados [Sênior-Especialista];Belo Horiz... - MG;Remoto;Banco de Talentos;Também p/ PcD;15/05/2023
COTY;Analista de Dados - Performance;São Paulo - SP;Presencial;Efetivo;Não informado;15/05/2023
Movida Aluguel de Carros;ENGENHEIRO (A) DE DADOS PL;São Paulo - SP;Presencial;Pessoa Jurídica;Também p/ PcD;15/05/2023
Sicredi;Analista de Dados - Foco em Crédito - Afirmativa para PCD's;Porto Alegre - RS;Remoto;Efetivo;Também p/ PcD;12/05/2023
Globo;Pessoa Engenheira de Dados | Big Data & AI;Rio de Jan... - RJ;Remoto;Banco de Talentos;Não informado;11/05/2023
Grupo Yamaha Brasil;ANALISTA DE DADOS PL;Guarulhos - SP;Presencial;Efetivo;Não informado;11/05/2023
Seleção de Professores - Centro Universitário Facens;Edital 2023.2 - Engenharia da Computação - Estrutura de Dados;Sorocaba - SP;Presencial;Docente;Também p/ PcD;08/05/2023
Seleção de Professores - Centro Universitário Facens;Edital 2023.2 - Análise e Desenvolvimento de Sistemas I Gestão de TI - Banco de Dados ;Sorocaba - SP;Presencial;Docente;Também p/ PcD;08/05/2023
NV;NV | Analista de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;08/05/2023
BP - A Beneficência Portuguesa de São Paulo;Pessoa Consultora de Dados e Estatística ;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;08/05/2023
Softys Brasil;Data Science Sr (Cientista de Dados Sr);São Paulo - SP;Presencial;Efetivo;Também p/ PcD;08/05/2023
Indique Uma Preta;Indique + Ambev | Cientista de Dados Sênior (vaga afirmativa para pessoas negras);São Paulo - SP;Remoto;Efetivo;Também p/ PcD;05/05/2023
Itaú Unibanco;ANL ENGENHARIA DE DADOS SR - CRÉDITO PJ;Sao Paulo - SP;Presencial;Efetivo;Não informado;04/05/2023
SYOS;Estagiário de Ciência de Dados;São Paulo - SP;Presencial;Estágio;Também p/ PcD;28/04/2023
AESC - Associação Educadora São Carlos;Analista de Dados Epidemiológicos - Hospital Mãe de Deus;Porto Alegre - RS;Presencial;Efetivo;Também p/ PcD;28/04/2023
J&T Express Brasil;Analista de dados (BI) Sr.;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;27/04/2023
Faça parte do time Mercantil;Analista de Dados Junior;Belo Horiz... - MG;Presencial;Efetivo;Também p/ PcD;27/04/2023
Cresol Oficial;Administrador de Banco de Dados DBA | Cresol Confederação ;Florianópolis - SC;Presencial;Efetivo;Também p/ PcD;27/04/2023
match.mt;Banco de Talentos : : Dados e Analytics ;São Paulo - SP;Remoto;Banco de Talentos;Não informado;26/04/2023
Close-up International;Analista de Informações JR/PL (Rewards - Banco de Dados);São Paulo - SP;Presencial;Efetivo;Também p/ PcD;26/04/2023
Montreal & Tecnologia & Inovação;Cientista de Dados - Regional São Paulo;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;25/04/2023
Telefónica Tech;Gerente de Dados (Big Data) ;Barueri - SP;Presencial;Efetivo;Não informado;25/04/2023
J&T Express Brasil;Analista de dados (BI) Jr;Ribeirão P... - SP;Presencial;Efetivo;Também p/ PcD;25/04/2023
Stocche Forbes Advogados;Advogado(a) Júnior - Contratos / Societário / Proteção de Dados / Propriedade Intelectual ;Belo Horiz... - MG;Presencial;Associado;Não informado;24/04/2023
Itaú Educação e Trabalho;Analista em gestão do conhecimento  (monitoramento de pesquisas e dados);Sao Paulo - SP;Presencial;Efetivo;Não informado;20/04/2023
Datum TI;Pessoa Engenheira de Dados Sênior;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;19/04/2023
Stocche Forbes Advogados;Estagiário(a) - Contratos / Societário / Proteção de Dados / Propriedade Intelectual;Belo Horiz... - MG;Presencial;Estágio;Não informado;18/04/2023
RHMED Consultores Associados;ANALISTA DE DADOS ;Rio de Jan... - RJ;Presencial;Efetivo;Não informado;17/04/2023
Diversa - Bip Brasil;Pessoa Cientista de Dados na xTech - Vaga afirmativa para PCD;São Paulo - SP;Remoto;Banco de Talentos;Também p/ PcD;17/04/2023
Cielo;Especialista em Dados;Barueri - SP;Presencial;Efetivo;Também p/ PcD;14/04/2023
Itaú Unibanco;ANL SISTEMAS SR (Eng. Dados - Plataforma) - DADOS E CRM (REDE);Sao Paulo - SP;Presencial;Efetivo;Não informado;14/04/2023
Superlógica Tecnologias ;Pessoa Analista de Engenharia de Dados;Não informado;Remoto;Efetivo;Também p/ PcD;11/04/2023
Grupo Acelerador;Analista de Dados;Barueri - SP;Presencial;Efetivo;Não informado;10/04/2023
Vivo Vita;Administrador de Banco De Dados Pleno;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;06/04/2023
Itaú Unibanco;ANL ENGENHARIA DE DADOS SR - IBBA;Sao Paulo - SP;Presencial;Efetivo;Não informado;06/04/2023
Rotoline;Não encontrou a vaga que procurava? Envie seu currículo mesmo assim, para que possamos ter seus dados quando surgirem novas vagas.;Chapecó - SC;Presencial;Banco de Talentos;Não informado;04/04/2023
Ambev Tech;Engenharia de Dados - Vaga afirmativa para Mulheres e/ou Pessoas Pretas/Pardas e/ou PCD;Não informado;Presencial;Efetivo;Também p/ PcD;27/03/2023
Continental Bom Dia Distribuidora;Estagiário(a) de Dados e Processos;Itapeceric... - SP;Presencial;Estágio;Não informado;24/03/2023
Hypera Pharma;ARQUITETO DADOS;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;23/03/2023
Unicred Central Conexão;Cientista de Dados | Itajaí;Itajaí  - SC;Presencial;Efetivo;Não informado;22/03/2023
Stefanini Group;ENGENHEIRO DE DADOS SR;Sao Paulo - SP;Remoto;Efetivo;Também p/ PcD;21/03/2023
V.tal | o futuro passa por aqui;Banco de Talentos - Dados;Não informado;Presencial;Banco de Talentos;Também p/ PcD;21/03/2023
Welcome The Future;Analista de Banco de Dados;Salvador - BA;Presencial;Efetivo;Também p/ PcD;20/03/2023
Itaú Unibanco;Analista de Estratégia de Dados;Sao Paulo - SP;Presencial;Efetivo;Não informado;17/03/2023
Sem Parar;Analista de Dados Comerciais ;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;15/03/2023
Mottu;Especialista em Análise de Dados;São Paulo - SP;Presencial;Pessoa Jurídica;Também p/ PcD;15/03/2023
Stefanini Group;Engenheiro de Dados;Brasilia - DF;Remoto;Efetivo;Não informado;15/03/2023
SLC Máquinas;Cientista de Dados Agro;Não informado;Presencial;Efetivo;Também p/ PcD;15/03/2023
J&T Express Brasil;Analista de Dados Sênior - São Paulo / SP ;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;15/03/2023
Embraer;Analista de Dados JR (Vaga afirmativa para pessoas com deficiência);São José d... - SP;Presencial;Efetivo;Também p/ PcD;13/03/2023
Grupo Acelerador;BANCO DE DADOS ACELERADO;Barueri - SP;Presencial;Efetivo;Também p/ PcD;13/03/2023
Mottu;Analista de Dados Junior e Pleno;São Paulo - SP;Presencial;Pessoa Jurídica;Também p/ PcD;03/03/2023
Itaú Unibanco;Analista de Dados - Soluções de Investimentos;Sao Paulo - SP;Presencial;Efetivo;Não informado;28/02/2023
Vagas Peers;Data Architect (Arquiteto de Dados);São Paulo - SP;Remoto;Efetivo;Também p/ PcD;27/02/2023
GPA;Analista Ciência de Dados Sênior;São Paulo - SP;Presencial;Efetivo;Não informado;27/02/2023
Kempetro Engenharia;Analista de Dados;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;23/02/2023
Agrofel Grãos e Insumos;Analista de Dados;Porto Alegre - RS;Presencial;Efetivo;Também p/ PcD;08/02/2023
Stefanini Group;Administrador de Banco de Dados ;Brasilia - DF;Remoto;Efetivo;Também p/ PcD;06/02/2023
Ewave do Brasil;Analista de Dados;Curitiba - PR;Presencial;Efetivo;Não informado;01/02/2023
Itaú Unibanco;Engenharia de Dados Pleno - Crédito PF 🧡;Sao Paulo - SP;Presencial;Efetivo;Não informado;31/01/2023
Itaú Unibanco;Engenheiro (a) de Dados Pleno - IBBA;São Paulo - SP;Presencial;Efetivo;Não informado;30/01/2023
EloGroup;Engenheiro(a) de dados Sênior ;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;27/01/2023
NAVA | Technology for Business;BANCO DE TALENTOS - ENGENHARIA DE DADOS JR/PL/SR/ESPECIALISTAS;Não informado;Presencial;Banco de Talentos;Também p/ PcD;23/01/2023
Itaú Unibanco;Engenheiro(a) de Dados Pleno;São Paulo - SP;Presencial;Efetivo;Não informado;20/01/2023
Itaú Unibanco;Engenharia de Dados | Oportunidade direcionada para Mulheres;São Paulo - SP;Presencial;Efetivo;Não informado;20/01/2023
Porsche Cup Brasil;Banco de Talentos | Analista de Dados Freelancers ;São Paulo - SP;Presencial;Banco de Talentos;Também p/ PcD;19/01/2023
Ewave do Brasil;Cientista de Dados;Barueri - SP;Remoto;Efetivo;Não informado;19/01/2023
Kempetro Engenharia;Analista de Dados de Automação de Projetos;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;17/01/2023
Itaú Unibanco;Analista de Dados Sênior (Marketing);Sao Paulo - SP;Presencial;Efetivo;Não informado;17/01/2023
Infotec Brasil;Analista de Dados - Salvador/BA ;São Franci... - BA;Presencial;Efetivo;Também p/ PcD;13/01/2023
Peck Advogados;Advogado(a) Pleno - Proteção de Dados e Privacidade;São Paulo - SP;Presencial;Associado;Não informado;06/01/2023
Eng4tech;Engenheiro de Dados PL/SR;Campinas - SP;Remoto;Efetivo;Também p/ PcD;28/12/2022
Itaú Unibanco;Engenheiro (a) de Dados Sênior - IBBA;São Paulo - SP;Presencial;Efetivo;Não informado;27/12/2022
Infotec Brasil;Analista de Dados - Home Office   ;Rio de Jan... - RJ;Remoto;Efetivo;Também p/ PcD;26/12/2022
Peck Advogados;Advogado(a) Pleno | Privacidade e Proteção de Dados ;São Paulo - SP;Presencial;Associado;Não informado;23/12/2022
Peck Advogados;Advogado(a) Jr. | Proteção de Dados e LGPD ;São Paulo - SP;Presencial;Associado;Também p/ PcD;19/12/2022
Eng4tech;Engenheiro de Dados;Campinas - SP;Remoto;Efetivo;Também p/ PcD;13/12/2022
Unidas;Analista de Inteligência de Dados PL;Curitiba - PR;Presencial;Efetivo;Também p/ PcD;08/12/2022
J&T Express Brasil;Analista de dados (BI);Belo Horiz... - MG;Presencial;Efetivo;Também p/ PcD;25/11/2022
Ajinomoto do Brasil;Analista de TI (Administração de Bancos de Dados);Limeira - SP;Presencial;Efetivo;Também p/ PcD;23/11/2022
Projeto BRA;BRADESCO | Engenheiro de Dados;Barueri - SP;Presencial;Efetivo;Também p/ PcD;11/11/2022
Itaú Unibanco;Engenheiro (a) de Dados Sênior ;São Paulo - SP;Presencial;Efetivo;Não informado;11/11/2022
Itaú Unibanco;Engenheiro (a) de Dados Sênior;São Paulo - SP;Presencial;Efetivo;Não informado;10/11/2022
Itaú Unibanco;Analista de Ciência de Dados Pleno;Sao Paulo - SP;Presencial;Efetivo;Não informado;09/11/2022
Diversa - Bip Brasil;Cientista de Dados na xTech - Vaga afirmativa para mulheres;São Paulo - SP;Remoto;Banco de Talentos;Não informado;03/11/2022
Diversa - Bip Brasil;Engenheira de Dados xTech - Vaga afirmativa para mulheres;São Paulo - SP;Remoto;Banco de Talentos;Não informado;03/11/2022
Grupo Skytech;Analista de dados;São Paulo - SP;Presencial;Efetivo;Não informado;31/10/2022
Bip Brasil;Pessoa Consultora de Governança de Dados - CoE xTech;São Paulo - SP;Remoto;Banco de Talentos;Não informado;27/09/2022
Instituto Atlântico;[Banco de Talentos] Pessoa Engenheira de Dados;Fortaleza - CE;Remoto;Banco de Talentos;Também p/ PcD;06/09/2022
Itaú Unibanco;Analista de Dados de Prevenção a Fraude -  Sênior;Sao Paulo - SP;Presencial;Efetivo;Não informado;29/07/2022
EloGroup;Engenheiro(a) de Dados Pleno;Não informado;Remoto;Efetivo;Também p/ PcD;18/07/2022
Cidacs;Banco de Talento | Engenheiro de Dados Júnior;Salvador - BA;Presencial;Banco de Talentos;Não informado;13/07/2022
Keep Simple;Engenheiro de Dados (1875);Curitiba - PR;Presencial;Pessoa Jurídica;Não informado;12/07/2022
Itaú Unibanco;Analista de Dados - Exclusivo para Profissionais com Deficiência ;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;08/07/2022
Bip Brasil;Pessoa Engenheira de Dados - CoE xTech;São Paulo - SP;Remoto;Banco de Talentos;Não informado;01/07/2022
Bip Brasil;Pessoa Cientista de Dados - CoE xTech;São Paulo - SP;Remoto;Banco de Talentos;Não informado;01/07/2022
Vivo Digital;Banco de Talentos - Dados/BI/Analytics;São Paulo - SP;Presencial;Banco de Talentos;Também p/ PcD;13/06/2022
Santander Brasil;Analista Sênior de Dados;São Paulo - SP;Presencial;Efetivo;Não informado;18/05/2022
DEXCO;Banco de Talentos - Cientista de Dados ;São Paulo - SP;Remoto;Banco de Talentos;Também p/ PcD;17/03/2022
Globo;Cientista de Dados | Big Data & AI;Rio de Jan... - RJ;Remoto;Banco de Talentos;Também p/ PcD;13/01/2022
Sicredi;Banco de Dados - Gerente de Negócios   - Rancharia/SP ;Rancharia - SP;Presencial;Banco de Talentos;Também p/ PcD;20/10/2021
Sicredi;Banco de Dados  -Rancharia/SP;Rancharia - SP;Presencial;Banco de Talentos;Também p/ PcD;20/10/2021
Sicredi;Banco de dados - Vaga PCD - Rancharia/SP (Administrativo/Comercial) ;Rancharia - SP;Presencial;Banco de Talentos;Também p/ PcD;20/10/2021
Pollo Engenharia ;Engenheiro Civil - Banco de Dados;Itajubá - MG;Presencial;Pessoa Jurídica;Não informado;30/07/2021
Brivia;Analista de Dados;Rio de Jan... - RJ;Remoto;Banco de Talentos;Também p/ PcD;08/06/2021
Brivia;Cientista de Dados;Florianópolis - SC;Remoto;Banco de Talentos;Também p/ PcD;04/06/2021
Brivia;Engenheiro(a) de Dados;São Paulo - SP;Remoto;Banco de Talentos;Também p/ PcD;04/06/2021
Globalsys Soluções em TI;Banco de Talentos - Analista de Dados/ Analista de BI ou Cientista de Dados;Não informado;Remoto;Banco de Talentos;Não informado;04/06/2021
Trial Estrutura Organizacional;Analista de Dados;São Paulo - SP;Presencial;Autônomo;Também p/ PcD;25/05/2021
Fennix Brasil Distribuidora;* NÃO ENCONTROU A VAGA QUE VOCÊ GOSTARIA? CADASTRE SEUS DADOS AQUI!!! *;Manaus - AM;Presencial;Banco de Talentos;Também p/ PcD;14/04/2021
Qexpert ;Banco de Talentos Analista de Dados;Curitiba - PR;Remoto;Banco de Talentos;Também p/ PcD;18/03/2021
Qexpert ;Banco de Talentos Engenheiro de Dados;Curitiba - PR;Remoto;Banco de Talentos;Também p/ PcD;18/03/2021
Qexpert ;Banco de Talentos Cientista de Dados;Curitiba - PR;Remoto;Banco de Talentos;Também p/ PcD;18/03/2021
Sicredi;Banco de Dados Jovem Aprendiz - Dracena/SP;Dracena - SP;Presencial;Banco de Talentos;Também p/ PcD;11/03/2021
Nestlé;Engenheiro(a) de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;01/03/2021
Qualidados;Não encontrou uma vaga com seu perfil? Cadastre seus dados aqui!!;Não informado;Presencial;Banco de Talentos;Também p/ PcD;29/05/2020
Log-In Logística Intermodal;Especialista em Análise de Dados - VAGA BANCO;Rio de Jan... - RJ;Presencial;Banco de Talentos;Não informado;31/03/2020